id,correct,b_correct,flip_type,n_tool_calls
addiction_medicine_001,True,True,no_change,0
addiction_medicine_002,True,False,wrong_to_right,0
addiction_medicine_003,True,True,no_change,0
addiction_medicine_004,True,True,no_change,0
addiction_medicine_005,True,True,no_change,0
addiction_medicine_006,False,True,right_to_wrong,0
addiction_medicine_007,False,False,no_change,0
bmi_001,True,True,no_change,0
bmi_002,False,False,no_change,4
bmi_003,True,True,no_change,0
bmi_004,True,False,wrong_to_right,0
bmi_005,True,True,no_change,0
bmi_006,True,True,no_change,0
body_measurements_001,True,False,wrong_to_right,4
body_measurements_002,False,False,no_change,0
body_measurements_003,True,False,wrong_to_right,4
body_measurements_004,True,True,no_change,0
body_measurements_005,False,True,right_to_wrong,0
body_measurements_006,True,False,wrong_to_right,0
body_measurements_007,True,True,no_change,0
body_measurements_008,False,False,no_change,0
cardiovascular_system_001,True,True,no_change,0
cardiovascular_system_002,True,True,no_change,0
cardiovascular_system_003,False,False,no_change,0
cardiovascular_system_004,True,True,no_change,4
cardiovascular_system_005,True,True,no_change,0
cardiovascular_system_006,True,True,no_change,0
cardiovascular_system_007,True,True,no_change,0
cardiovascular_system_008,False,False,no_change,0
cardiovascular_system_009,True,True,no_change,0
cardiovascular_system_010,True,False,wrong_to_right,0
cardiovascular_system_011,False,True,right_to_wrong,0
diabetes_001,True,True,no_change,0
diabetes_002,False,False,no_change,0
diabetes_003,True,True,no_change,0
diabetes_004,True,True,no_change,0
diabetes_005,True,False,wrong_to_right,4
diabetes_006,True,True,no_change,0
diabetes_007,True,True,no_change,0
dietary_001,True,True,no_change,0
dietary_002,False,False,no_change,0
dietary_003,False,False,no_change,0
dietary_004,True,True,no_change,4
dietary_005,False,False,no_change,0
dietary_006,False,False,no_change,0
dietary_007,True,False,wrong_to_right,4
digestive_system_001,True,True,no_change,0
digestive_system_002,False,False,no_change,4
digestive_system_003,False,False,no_change,0
digestive_system_004,False,False,no_change,0
digestive_system_005,True,True,no_change,0
digestive_system_006,False,False,no_change,0
digestive_system_007,True,False,wrong_to_right,0
dosage_001,False,False,no_change,0
dosage_002,True,True,no_change,0
dosage_003,True,False,wrong_to_right,4
dosage_004,False,False,no_change,4
dosage_006,False,False,no_change,0
dosage_007,False,False,no_change,0
dosage_008,True,True,no_change,0
dosage_009,True,True,no_change,0
dosage_010,True,True,no_change,4
dosage_011,False,False,no_change,0
electrolytes_fluids_001,False,False,no_change,0
electrolytes_fluids_002,False,False,no_change,0
electrolytes_fluids_003,True,True,no_change,0
electrolytes_fluids_004,False,False,no_change,0
electrolytes_fluids_005,True,True,no_change,0
electrolytes_fluids_006,True,True,no_change,0
electrolytes_fluids_007,False,False,no_change,0
electrolytes_fluids_008,True,True,no_change,0
epidemiology_001,False,True,right_to_wrong,1
epidemiology_002,True,True,no_change,0
epidemiology_003,True,True,no_change,0
epidemiology_004,False,False,no_change,0
epidemiology_005,False,False,no_change,0
epidemiology_006,False,False,no_change,0
epidemiology_007,False,False,no_change,0
geriatric_medicine_001,False,False,no_change,0
geriatric_medicine_002,False,False,no_change,0
geriatric_medicine_003,False,False,no_change,0
geriatric_medicine_004,True,True,no_change,0
geriatric_medicine_005,False,False,no_change,0
geriatric_medicine_006,True,True,no_change,4
geriatric_medicine_007,False,False,no_change,0
gynecology_pregnancy_001,False,False,no_change,0
gynecology_pregnancy_002,False,False,no_change,0
gynecology_pregnancy_003,False,False,no_change,0
gynecology_pregnancy_004,True,True,no_change,0
gynecology_pregnancy_005,False,False,no_change,6
gynecology_pregnancy_006,True,True,no_change,4
gynecology_pregnancy_007,True,True,no_change,0
gynecology_pregnancy_008,False,False,no_change,0
gynecology_pregnancy_009,False,False,no_change,0
gynecology_pregnancy_010,False,False,no_change,0
hematology_001,True,True,no_change,0
hematology_002,True,True,no_change,0
hematology_003,True,True,no_change,5
hematology_004,False,False,no_change,0
hematology_005,False,True,right_to_wrong,0
hematology_006,True,True,no_change,0
hematology_007,False,True,right_to_wrong,0
hematology_008,True,True,no_change,0
hematology_009,False,False,no_change,0
hematology_010,False,True,right_to_wrong,0
hematology_011,True,True,no_change,0
hematology_012,True,True,no_change,0
