id,correct,baseline_correct,flip_type,n_tool_calls
addiction_medicine_001,True,True,no_change,4
addiction_medicine_002,True,True,no_change,4
addiction_medicine_003,True,True,no_change,4
addiction_medicine_004,True,True,no_change,4
addiction_medicine_005,True,False,wrong_to_right,4
addiction_medicine_006,True,True,no_change,4
addiction_medicine_007,True,True,no_change,4
bmi_001,True,True,no_change,4
bmi_002,False,False,no_change,4
bmi_003,False,False,no_change,4
bmi_004,False,False,no_change,5
bmi_005,True,False,wrong_to_right,4
bmi_006,True,True,no_change,4
body_measurements_001,True,True,no_change,4
body_measurements_002,True,True,no_change,4
body_measurements_003,True,True,no_change,4
body_measurements_004,True,True,no_change,4
body_measurements_005,True,True,no_change,4
body_measurements_006,True,True,no_change,4
body_measurements_007,True,True,no_change,4
body_measurements_008,False,False,no_change,4
cardiovascular_system_001,True,True,no_change,4
cardiovascular_system_002,True,True,no_change,5
cardiovascular_system_003,True,True,no_change,5
cardiovascular_system_004,True,True,no_change,4
cardiovascular_system_005,True,True,no_change,4
cardiovascular_system_006,True,True,no_change,4
cardiovascular_system_007,True,True,no_change,4
cardiovascular_system_008,True,True,no_change,5
cardiovascular_system_009,True,True,no_change,4
cardiovascular_system_010,True,True,no_change,6
cardiovascular_system_011,True,True,no_change,4
diabetes_001,True,True,no_change,4
diabetes_002,True,True,no_change,5
diabetes_003,True,True,no_change,4
diabetes_004,True,True,no_change,5
diabetes_005,False,True,right_to_wrong,4
diabetes_006,True,True,no_change,4
diabetes_007,False,True,right_to_wrong,0
dietary_001,True,True,no_change,6
dietary_002,True,True,no_change,4
dietary_003,True,True,no_change,4
dietary_004,True,True,no_change,4
dietary_005,False,False,no_change,6
dietary_006,False,False,no_change,3
dietary_007,False,False,no_change,4
digestive_system_001,True,True,no_change,4
digestive_system_002,False,False,no_change,4
digestive_system_003,False,False,no_change,4
digestive_system_004,False,False,no_change,0
digestive_system_005,True,True,no_change,6
digestive_system_006,False,False,no_change,0
digestive_system_007,False,False,no_change,0
dosage_001,True,True,no_change,4
dosage_002,True,True,no_change,5
dosage_003,True,False,wrong_to_right,4
dosage_004,False,False,no_change,4
dosage_006,True,True,no_change,5
dosage_007,False,False,no_change,3
dosage_008,True,True,no_change,4
dosage_009,True,True,no_change,4
dosage_010,True,True,no_change,4
dosage_011,True,True,no_change,4
electrolytes_fluids_001,True,True,no_change,4
electrolytes_fluids_002,True,True,no_change,4
