id,category,expected_calculator,primary_field,tolerance,expected,predicted,correct,parse_failed,n_tool_calls,n_model_calls,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,stop_reason,adapter_error,n_verifier_fires,n_fixes_applied,violations_history,extracted_facts,citation_reports,voting_reports,extractor_prompt_tokens,extractor_completion_tokens,extractor_elapsed_s,qwen3_prompt_tokens,qwen3_completion_tokens,qwen3_elapsed_s,primary_prompt_tokens,primary_completion_tokens,primary_elapsed_s,verifier_prompt_tokens,verifier_completion_tokens,verifier_elapsed_s,raw_output
addiction_medicine_001,addiction_medicine_calculators,bac_calculator_blood_alcohol_content,bac,0.01,0.00033474645030425967,0.0,True,False,4,5,35534,8451,43985,194.5440902709961,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""bac"": 0.0}"
addiction_medicine_002,addiction_medicine_calculators,auditc_calculator_am_i_an_alcoholic,result,0.01,5.0,5.0,True,False,4,5,26263,3384,29647,40.97314500808716,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""result"": 5, ""risk_category"": ""Moderate"", ""message"": ""Your result is 5 points. You are in the moderate risk category. Please keep an eye on your drinking.""}"
addiction_medicine_003,addiction_medicine_calculators,ciwa_calculator,ciwa_score,0.01,22.0,22.0,True,False,4,5,35069,4795,39864,71.77922940254211,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""ciwa_score"": 22,
  ""severity_category"": ""Severe withdrawal"",
  ""treatment_recommendation"": ""Most patients with score >20 require medication""
}"
addiction_medicine_004,addiction_medicine_calculators,pack_year_calculator,pack_year,0.1,30.0,30.0,True,False,4,5,29304,4392,33696,48.663565158843994,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""pack_year"": 30.0, ""cigarettes_in_life"": 109572.0, ""packs_in_life"": 10957.2}"
addiction_medicine_005,addiction_medicine_calculators,sobriety_calculator,sobriety_days,0.01,731.0,731.0,True,False,4,5,28070,4075,32145,45.21861958503723,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""sobriety_days"": 731,
  ""sobriety_weeks"": 104,
  ""sobriety_months"": 24,
  ""sobriety_years"": 2,
  ""years_months_days"": ""2 years"",
  ""weeks_days"": ""104 weeks, 3 days""
}"
addiction_medicine_006,addiction_medicine_calculators,fagerstrom_test_for_nicotine_dependence_calculator,total,0.01,9.0,9.0,True,False,4,5,30330,4235,34565,54.77527379989624,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""total"": 9, ""dependence_level"": ""Very high"", ""message"": ""You likely have a very high level of dependence on nicotine.""}"
addiction_medicine_007,addiction_medicine_calculators,alcohol_unit_calculator,alcohol_units,0.1,97.1,97.1,True,False,4,5,29201,4715,33916,86.71439838409424,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""alcohol_units"": 97.1, ""alcohol_units_part1"": 13.77, ""alcohol_units_part2"": 83.3, ""custom_drink_alcohol_units"": 72.0}"
bmi_001,bmi_calculators,bmi_calculator_body_mass_index,bmi,0.1,26.6,26.562,True,False,4,5,24868,4917,29785,58.51114463806152,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""bmi"": 26.562,
  ""bmi_prime"": 1.062,
  ""category"": 5,
  ""percentile"": 6,
  ""message"": ""According to the WHO BMI report, you fall into the **overweight** category.""
}"
bmi_002,bmi_calculators,bmi_calculator_for_kids,percentile,0.01,5.0,15.0,False,False,5,6,39552,6146,45698,115.69206762313843,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""percentile"": 15.0, ""bmi"": 15.9454, ""bmi_prime"": 0.637816}"
bmi_003,bmi_calculators,bmi_calculator_for_men,bmi,0.01,30.846,30.846,True,False,4,5,20970,5020,25990,61.49753260612488,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""bmi"": 30.846,
  ""bmi_prime"": 1.234,
  ""category"": 6,
  ""percentile"": 75,
  ""category_description"": ""According to the WHO BMI, you fall into the moderately obese [Class I] category."",
  ""percentile_description"": ""Given your BMI and age, you are in the 75th percentile. This represents the percentage of the population of the USA with a lower BMI than you in your age category.""
}"
bmi_004,bmi_calculators,bmi_calculator_for_teens,category,0.01,2.0,2.0,True,False,4,5,28181,7010,35191,130.19667983055115,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""category"": 2}"
bmi_005,bmi_calculators,bmi_weight_loss_calculator,weight_diff,0.1,30.64,30.64,True,False,4,5,36240,6898,43138,120.6889271736145,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""weight_diff"": 30.64,
  ""bmi"": 33.0,
  ""bmi_prime"": 1.32,
  ""tar_bmi"": 22.0,
  ""tar_bmi_prime"": 0.9,
  ""tar_mass"": 61.36,
  ""weight_gain"": -30.64,
  ""percentile"": 0,
  ""tar_percentile"": 0,
  ""diff1"": -40.41,
  ""diff2"": 22.28,
  ""bmi_category"": ""obese"",
  ""weight_recommendation"": ""You need to reduce your weight to reach your target BMI.""
}"
bmi_006,bmi_calculators,geriatric_bmi_calculator,calculated_bmi,0.1,20.58,20.58,True,False,4,5,20735,2378,23113,36.385650396347046,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""calculated_bmi"": 20.58,
  ""calculated_weight"": 54.0,
  ""calculated_height"": 1.62,
  ""weight_status"": ""Underweight"",
  ""status_message"": ""According to your BMI, you might be underweight."",
  ""age_appropriate"": true
}"
body_measurements_001,body_measurements_calculators,bsa_calculator_body_surface_area,bsa,0.01,1.7923,1.7923,True,False,7,8,42135,3704,45839,54.7505669593811,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""bsa"": 1.7923,
  ""bsa_mosteller"": 1.8166,
  ""bsa_haycock"": 1.8317,
  ""bsa_gehan_and_george"": 1.8347,
  ""bsa_fujimoto"": 1.7515
}"
body_measurements_002,body_measurements_calculators,adjusted_body_weight_calculator,adjusted_weight,0.01,65.6488,65.6488,True,False,5,6,37055,5588,42643,92.01516795158386,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""adjusted_weight"": 65.6488, ""ideal_weight"": 52.748}"
body_measurements_003,body_measurements_calculators,absi_calculator,absi,0.01,0.0798,0.0798,True,False,4,5,23711,2894,26605,38.22714066505432,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{
  ""absi"": 0.0798,
  ""bmi"": 27.97,
  ""absi_mean"": 0.0817,
  ""absi_sd"": 0.0037,
  ""absi_z"": -0.5066,
  ""risk_category"": ""low""
}"
body_measurements_004,body_measurements_calculators,ffmi_calculator_fatfree_mass_index,ffmi,0.1,21.2,21.2,True,False,4,5,22636,2692,25328,36.3691725730896,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""ffmi"": 21.2, ""normalized_ffmi"": 21.8, ""fat_free_mass"": 61.2, ""body_fat_result"": 10.8, ""classification"": ""above average""}"
body_measurements_005,body_measurements_calculators,skinfold_body_fat_calculator,body_fat_percentage,0.1,18.79,18.79,True,False,4,5,24200,2859,27059,37.93428564071655,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""body_fat_percentage"": 18.79, ""body_density"": 1.0559}"
body_measurements_006,body_measurements_calculators,lean_body_mass_calculator,lean_body_mass,0.01,60.098,60.098,True,False,4,5,26743,3668,30411,42.71166229248047,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"{""lean_body_mass"": 60.098}"
